1	0	13,2,3,0
4	0	1,12,15,9,27,2,4,7,5,22
5	1	1,6,0
7	1	4,1,10,0,7
8	1	4,3,2,1,7,6
10	1	3,14,4,13,2,8,15
12	1	0,10,4,6,1,3,9
13	1	1,0,6
14	1	5,1,11,7,4,2,10
15	0	3,8,11,6,18,5,10,4,14
16	0	2,1,22,5,10,15,8,20,13,19,16
17	1	3,4,27,23,15
18	1	5,4,1,2
20	1	12,15,6,18,8,16,19,7,11
21	1	2,3,1,12
22	1	3,2,9,0,7
23	1	5,18,9,7,3,1,12,13,17
24	1	2,0,5,6,13
25	0	2,7,6
26	1	10,7,8,2,13,1,19,5,11,15,18
27	1	6,5,0,4,11
28	1	11,2,3,18,1,5,15,17,14,0,10
30	1	8,5,1,4,2,10,12
31	1	12,1,13,4,6,2,10,5
33	1	9,2,7
34	1	6,0,11,8,5,10
37	1	0,5,4,8
38	1	6,7,2
40	1	11,10,2,9,3,7,5
41	1	2,1,7,0
42	1	0,3,8,2,4,9,10,1,11
45	0	0,2,9,11,3,7
47	0	9,8,6,0
48	1	8,4,5,9,1,10,3
50	1	8,7,1,0
51	1	5,12,7,3,11,1,16,0,10
52	1	3,8,10,0,1
53	1	3,2,6,1,5,8,0
54	0	13,0,1
56	1	2,1,0,12,15,13
57	0	1,12,3,4,11
58	1	3,2,9,1
60	0	2,0,4,9
61	0	1,6,8,4
62	0	4,5,14,12,10,2,11,0
64	0	10,6
66	1	4,5,0,1
67	0	9,5,10,19,11
68	1	1,11,7,3,2,5,9,6,4
70	1	1,0,5
71	1	16,5,12,8,1,15,2,11,4,13,14,6
73	0	8,15,5,6,4
74	1	1,4,0,12,7,13,8,5
76	0	2,11,12,0,1,7
77	1	1,8,3,10,9
78	1	15,1,3,14,2,10,0,4,12
80	0	15,3,4,11,0,14,5,1,10
81	1	1,12,2,6,11,14,13,7
82	0	2,0,9,7,4,12,10,13,1
85	1	7,1,6,0,4
86	1	4,8,2,7,10,12
88	1	0,4
90	1	2,10,1,0,5,9,3
91	1	1,0,10,3,6,8
92	1	2,4,9,0
94	1	2,1,8,0,5
95	1	9,10,4,12,6
98	1	2,1,0
99	1	8,7,3,20,2,13,16,19,6
101	0	4,3,8,9
102	0	4,11,5,0
103	1	11,10,6,4,3,1
104	1	1,6,9,5,0,8
105	0	2,12,11
106	1	3,2,10,6
107	1	1,13,2,8,10,9,11
108	0	1,2,4,7,5,8
109	1	8,3,2,0,9,5,10
111	1	8,2,4,7,3,10,12
112	1	3,2,0,8,5
113	1	12,11,4,3,0
114	0	12,2,11,5,9
116	1	4,8,2,10,0
117	1	12,5,2,11,9,1
118	1	4,3,1,9,6
119	1	0,10,7,12,11
120	1	1,4,2,10,3,18,13,9
121	1	3,1,2,5
122	1	3,5,6,4,2,1,12
124	1	1,4,3,10,9
125	1	6,13,4,9,12
126	1	0,7,3
127	1	4,5,7,8
128	0	1,0,2,4,8,9
130	1	1,5,0,4
131	1	0,1,5,10,14,13,2,3
132	0	4,1,2,14,0,17,13
133	1	9,4,2,13,6
134	0	2,3,33,35,34,0,12,28,1,31,25,26,14
135	1	7,2,9,6,1,13
137	1	7,3,2,1,5
138	1	6,11,1,2,7
139	1	9,8,1,5
140	1	0,8,1
142	1	0,14,24,2,6
143	1	4,6
146	1	7,6,0,5,9
147	1	4,3,1,2,10
148	1	1,3,2,9,8,7
149	1	4,3,0,2,1,15,6
150	1	3,2,1
151	1	7,6,5,9,2
153	1	9,5,4,12,15
154	1	1,0,7,8,3,11
155	1	9,3,0,1,8
156	1	0,14,15,8,5,7,12,19,11,4,18,20
157	1	24,3,23,0,14,10,7,4,18
158	0	1,0,6
159	1	8,1,2,0,10
160	1	3,10,8
161	1	9,8,12,11,5,4
162	1	0,5,14,9,10,3,8,16
163	1	2,4,3,5,9,7,8
164	1	7,6,2,12,5
165	1	5,1,3
166	1	0,1,8
167	1	3,2,22,5,1,8,6
168	1	3,2
169	0	7,2,0,9,4
171	0	1,2,8
172	1	0,1,6,7
174	1	1,2,6,4,3
175	1	3,2,8,9
176	1	3,1,4,0,10,6,8,7
177	0	10,28,14,7,9,23,5,36,1,11,19,12,21,3,35,30,29,2,20
178	1	5,4,3,12
179	1	2,8
180	0	1,7,6,2,5,11,4,9
181	1	3,8,6,1
182	1	0,10,11,2
183	1	3,0,4,7,12,6,1,11,14
184	1	3,5,1,8,11,12
185	1	0,11,3,7
186	1	4,3,2,9,0
187	1	2,10,1,8,0
188	1	4,11,3
189	1	4,3,10,2
190	1	8,0
191	1	3,2,1,9
192	1	4,11,5,8,3,1
193	0	6,3,4,1,14,0
194	1	14,1,13,0,8,12,19,7
195	1	3,7,0,2
196	1	0,1,2,5,7
197	1	1,12,6,4,3,7,0
198	0	5,11,4,8
200	1	9,10,0,3,12,6
201	1	33,32,35
202	1	3,26,14,20,15,16,5,29,6
203	1	11,1,7,0,9,10,21,8
204	0	2,7,0,10,9,3
205	0	16,10,14
206	1	10,2,8,5
207	1	1,0,7,10,13,6,5,9
208	0	9,4,5,8
209	1	3,2,0
210	1	4,5,2,9,15,10,8,1,11,0
211	1	5,25,3,7,12
212	1	5,0,10,6,8,14,11
213	1	8,9,2,4,3,6,0
