1	0	13,2,3,0
4	0	1,12,15,9,27,2,4,7
5	1	1,6,0
7	1	4,1,10,0,7
8	1	4,3,2,1,7,6
10	1	3,14,4,13,2
12	1	0,10,4,6,1,3,9
13	1	1,0,6
14	1	5,1,11,7,4,2
15	0	3,8,11,6,18
16	0	2,1,22,5,10,15,8,20
17	1	3,4,27,23
18	1	5,4,1,2
20	1	12,15,6,18,8,16,19
21	1	2,3,1
22	1	3,2,9,0
23	1	5,18,9,7,3,1
24	1	2,0,5,6
25	0	2,7
26	1	10,7,8,2,13,1,19
27	1	6,5,0
28	1	11,2,3,18,1,5,15,17,14
30	1	8,5,1,4,2,10,12
31	1	12,1,13,4,6,2,10
33	1	9,2,7
34	1	6,0,11,8,5,10
37	1	0,5,4
38	1	6,7
40	1	11,10,2,9,3,7,5
41	1	2,1,7,0
42	1	0,3,8,2,4,9,10,1,11
45	0	0,2,9,11,3,7
47	0	9,8
48	1	8,4,5,9,1,10,3
50	1	8,7,1,0
51	1	5,12,7,3,11,1,16,0
52	1	3,8
53	1	3,2,6,1,5,8
54	0	13,0,1
56	1	2,1,0,12
57	0	1,12,3,4,11
58	1	3,2,9
60	0	2,0,4
61	0	1,6,8,4
62	0	4,5,14,12,10,2,11
64	0	10,6
66	1	4,5,0,1
67	0	9,5,10,19
68	1	1,11,7,3,2,5
70	1	1,0,5
71	1	16,5,12,8,1,15,2,11,4,13,14
73	0	8,15,5,6,4
74	1	1,4,0,12,7,13
76	0	2,11,12,0,1,7
77	1	1,8,3
78	1	15,1,3,14,2,10,0,4,12
80	0	15,3,4,11,0
81	1	1,12,2,6,11,14,13
82	0	2,0,9,7,4,12,10
85	1	7,1,6,0,4
86	1	4,8,2,7,10
88	1	0,4
90	1	2,10,1,0,5,9
91	1	1,0,10,3
92	1	2
94	1	2,1,8
95	1	9,10,4,12,6
98	1	2,1,0
99	1	8,7,3,20,2,13,16,19,6
101	0	4,3,8,9
102	0	4,11,5
103	1	11,10,6,4,3
104	1	1,6,9,5
105	0	2,12,11
106	1	3,2,10,6
107	1	1,13,2,8,10,9,11
108	0	1,2,4,7,5
109	1	8,3,2,0,9,5,10
111	1	8,2,4,7,3,10
112	1	3,2,0,8,5
113	1	12,11,4,3
114	0	12,2,11,5
116	1	4,8,2,10,0
117	1	12,5,2,11,9,1
118	1	4,3,1,9
119	1	0,10,7,12,11
120	1	1,4,2,10,3,18
121	1	3,1,2
122	1	3,5,6,4,2
124	1	1,4,3,10,9
125	1	6,13,4,9
126	1	0
127	1	4,5,7,8
128	0	1,0,2,4,8
130	1	1,5,0,4
131	1	0,1,5,10,14,13
132	0	4,1,2,14,0,17,13
133	1	9,4,2,13
134	0	2,3,33,35,34,0,12,28,1
135	1	7,2,9,6,1
137	1	7,3,2,1,5
138	1	6,11,1,2
139	1	9,8,1,5
140	1	0
142	1	0,14
143	1	4,6
146	1	7,6,0,5
147	1	4,3,1,2,10
148	1	1,3,2,9,8
149	1	4,3,0,2,1
150	1	3,2,1
151	1	7,6,5,9
153	1	9,5,4
154	1	1,0,7,8,3
155	1	9,3,0,1,8
156	1	0,14,15,8,5,7,12,19,11
157	1	24,3,23,0,14,10,7,4,18
158	0	1,0
159	1	8,1,2,0
160	1	3,10,8
161	1	9,8,12,11,5
162	1	0,5,14,9,10,3
163	1	2,4,3
